date,sector,index_price,fund_nav,valuation_percentile,attention_rank_pct,fund_start_date,valuation_metric
2020-01-02,医药,10027.557,1.0777,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-02,沪深300,4152.241,1.386,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-02,消费,16205.794,2.0213,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-02,科技,1832.742,1.888,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-03,医药,10013.957,1.0764,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-03,沪深300,4144.965,1.384,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-03,消费,16071.926,2.0054,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-03,科技,1836.012,1.8912,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-06,医药,9966.942,1.0716,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-06,沪深300,4129.295,1.379,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-06,消费,16069.281,2.005,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-06,科技,1859.921,1.9139,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-07,医药,10105.133,1.086,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-07,沪深300,4160.227,1.389,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-07,消费,16439.044,2.049,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-07,科技,1893.214,1.9458,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-08,医药,10003.024,1.0753,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-08,沪深300,4112.317,1.373,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-08,消费,16359.546,2.0395,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-08,科技,1862.699,1.9165,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-09,医药,10251.503,1.1008,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-09,沪深300,4164.37,1.39,50.0,50.0,2009-07-10,PRICE_PERCENTILE
